Resident County,Births,Baby_Male,Baby_Female,Mother_White,Mother_Black,Mother_Hispanic,Mother_Other,Mother_Age < 20,Mother_Age 20 - 24,Mother_Age 25 - 29,Mother_Age 30 - 34,Mother_Age 35 - 39,Mother_Age 40 +,Mother_Unmarried,Mother_NotHSGraduate_Age_20+ ,Population,GDP
Stark,54,30,24,52,0,2,0,2,14,24,7,4,3,17,3,5427,227465
Stephenson,488,264,224,340,102,39,7,52,133,138,117,41,7,266,37,44753,1923456
Tazewell,1389,743,646,1307,23,42,17,69,245,476,412,153,34,516,63,132328,8206096
Union,188,95,93,176,1,11,0,11,44,78,41,11,3,73,18,16841,448465
Vermilion,932,462,470,648,216,59,9,91,257,299,182,85,18,577,120,76806,3285723
Wabash,141,76,65,136,0,5,0,7,32,58,30,12,2,46,6,11549,376181
Warren,203,100,103,144,12,30,17,15,42,56,48,33,9,74,30,17032,750948
Washington,154,81,73,148,0,4,2,6,19,56,49,18,6,43,8,13995,1013500
Wayne,211,92,119,202,3,6,0,10,70,72,38,18,3,66,50,16332,648342
White,127,77,50,125,1,0,1,8,52,35,23,7,2,58,13,13665,573158
Whiteside,593,292,301,485,17,85,6,40,152,201,145,45,10,299,42,55626,2090471
Will,7321,3638,3683,4215,994,1679,433,259,970,2031,2516,1309,236,2389,392,692310,28209374
Williamson,739,376,363,669,49,12,9,39,186,249,188,69,8,326,54,67056,2796011
Winnebago,3496,1780,1716,1907,788,684,117,219,811,1104,903,379,79,1921,403,284081,13080810
Woodford,419,218,201,402,6,6,5,16,61,145,122,64,11,84,7,38463,1155062
